,glottocode,name,isocodes,latitude,longitude
10984,nana1261,Nanabin Sign Language,0,0.0,0.0
11021,naol1234,Naolan,0,0.0,0.0
11046,nasa1239,Nasal,nsy,0.0,0.0
11066,natu1248,Natú,0,0.0,0.0
11215,neoa1234,Neo (Artificial Language),neu,0.0,0.0
11219,nepa1254,Nepali,npi,0.0,0.0
11232,neut1237,Neutral-Atiouandaronk,0,0.0,0.0
11237,newc1245,New Caledonian Pidgin French,0,0.0,0.0
11239,news1234,New South Wales Pidgin,0,0.0,0.0
11245,ngaa1241,Ngaalam,0,0.0,0.0
11252,ngad1257,Ngadjuri,0,0.0,0.0
11260,ngal1301,Ngala of Lake Chad,0,0.0,0.0
11293,ngar1288,Ngardi,rxd,0.0,0.0
11299,ngar1286,Ngarla on the Ashburton river south of the Hamersley range,nlr,0.0,0.0
11364,ngoc1235,Ngochang,0,0.0,0.0
11398,ngub1239,Ngubi,0,0.0,0.0
11404,ngum1253,Ngumbarl,0,0.0,0.0
11555,nkoa1234,N'Ko,nqo,0.0,0.0
11629,nori1242,Nori,0,0.0,0.0
11630,nori1240,Noric,nrc,0.0,0.0
11667,nort3247,Northeast Bainounk,0,0.0,0.0
11706,nort3260,Northern Atlantika Vere,0,0.0,0.0
11793,nort3251,Northern Nambikuára,mbg,0.0,0.0
11843,nort3262,Northern Tidung,ntd,0.0,0.0
11863,nort3249,Northern Zhuang,ccx,0.0,0.0
11884,nort3250,North Korowai,krg,0.0,0.0
11906,nort1401,North Picene,nrp,0.0,0.0
12390,numi1241,Numidian,nxm,0.0,0.0
12408,naxi1247,Nuoxi Yao,0,0.0,0.0
12421,nuuc1236,Nuu-chah-nulth,nuk,0.0,0.0
12434,nyad1241,Nyadu,nxj,0.0,0.0
12494,nyen1255,Nyeng,nfg,0.0,0.0
12504,nyih1239,Nyiha (Malawi),nyr,0.0,0.0
12506,nyik1246,Nyika (Malawi and Zambia),nkv,0.0,0.0
12507,nyik1247,Nyika (Tanzania),nkt,0.0,0.0
12520,nyok1243,Nyokon,nvo,0.0,0.0
12563,occi1241,Occidental,occ,0.0,0.0
12566,ochi1235,O'chi'chi',xoc,0.0,0.0
12590,ogan1237,Ogan,ogn,0.0,0.0
12671,okwa1236,Okwa,0,0.0,0.0
12672,okwa1235,Okwanuchu,0,0.0,0.0
12676,olda1245,Old Aramaic (up to 700 BCE),oar,0.0,0.0
12677,oldb1247,Old Bangkok Sign Language,0,0.0,0.0
12678,oldb1235,Old Burmese,obr,0.0,0.0
12679,oldc1248,Old Cayman Sign Language,0,0.0,0.0
12680,oldc1244,Old Chinese,och,0.0,0.0
12682,oldd1237,Old Dutch,odt,0.0,0.0
12683,olde1238,Old English (ca. 450-1100),ang,0.0,0.0
12684,olde1239,Older Runic,0,0.0,0.0
12686,oldf1239,Old French (842-ca. 1400),fro,0.0,0.0
12687,oldf1241,Old Frisian,ofs,0.0,0.0
12688,oldg1234,Old Georgian,oge,0.0,0.0
12689,oldh1241,Old High German (ca. 750-1050),goh,0.0,0.0
12690,oldi1244,Old Indic,qmx,0.0,0.0
12691,oldi1245,Old Irish (to 900),sga,0.0,0.0
12692,oldj1239,Old Japanese,ojp,0.0,0.0
12693,oldk1250,Old Kannada,qkn,0.0,0.0
12695,oldk1249,Old Khmer,qok,0.0,0.0
12696,oldl1238,Old Latin,qbb,0.0,0.0
12697,oldm1243,Old Malay,0,0.0,0.0
12698,oldm1244,Old Marathi,omr,0.0,0.0
12699,oldm1242,Old Mon,omx,0.0,0.0
12700,oldn1244,Old Norse,non,0.0,0.0
12702,oldo1234,Old Ossetic,oos,0.0,0.0
12703,oldp1255,Old Persian,ope,0.0,0.0
12704,oldp1254,Old Persian (ca. 600-400 B.C.),peo,0.0,0.0
12705,oldp1253,Old Provençal,pro,0.0,0.0
12708,oldr1238,Old Russian,orv,0.0,0.0
12709,sabe1248,Old Sabellic,qhr,0.0,0.0
12710,olds1250,Old Saxon,osx,0.0,0.0
12712,olds1249,Old Spanish,osp,0.0,0.0
12713,oldt1248,Old Tamil,oty,0.0,0.0
12714,oldt1249,Old Telugu,0,0.0,0.0
